model,term,coefficient,standard_error,odds_ratio_per_model_unit,ci_low,ci_high,p_value
threshold_60,Intercept,-4.256249291259637,0.6452886411413038,0.014175370512532823,0.004001876961566827,0.050211720924301484,4.227281794497711e-11
threshold_60,C(center)[T.VitalDB],-0.06488369694579811,0.29494868044629924,0.937176453523208,0.5257273808768131,1.6706371723943712,0.8258843908249737
threshold_60,C(sex_group)[T.Male],0.5907769067076567,0.1785274813477633,1.8053904906686333,1.2723549478143288,2.5617339166211726,0.0009357464709179588
threshold_60,C(asa_group)[T.2],0.5200375974073171,0.47815367881818266,1.6820908907663934,0.6589376301357642,4.293926519595362,0.276773895534408
threshold_60,C(asa_group)[T.3],1.23130783947555,0.526313364424693,3.425706882519035,1.2211006212521323,9.610565616537471,0.019309795178164727
threshold_60,C(asa_group)[T.4],1.8834396357902232,0.563886144422452,6.576085344120799,2.1776430045970954,19.85858029156688,0.0008374634285004086
threshold_60,C(surgical_category)[T.genitourinary_gynecologic],1.2782162299649074,0.2960626892238573,3.590229865957133,2.009616729242724,6.414034229933869,1.5788954916378974e-05
threshold_60,C(surgical_category)[T.out_of_common_support],-0.20035133529959648,0.24161409052068428,0.8184431545882694,0.5097136146554879,1.3141677562313978,0.40697969760213093
threshold_60,C(surgical_category)[T.superficial_other],-0.2113136009378023,0.32256316341075864,0.8095201607891696,0.4301910855681125,1.523329777646834,0.512398437107281
threshold_60,C(surgical_category)[T.thoracic],-0.557436531272366,0.24239179133457747,0.572675218839279,0.35610996248629656,0.9209428008777939,0.02146332096762331
threshold_60,C(surgical_category)[T.vascular],-0.032896176265217916,0.27862771321613217,0.9676390182707417,0.5604605294139792,1.670635523002828,0.906016168750312
threshold_60,age10,0.015355710502943334,0.05548894611898225,1.015474215223202,0.9108285261218058,1.1321427164494364,0.7819839131981647
threshold_60,egfr10,-0.1608426692575748,0.036077375027336524,0.8514260160572721,0.7933006296474423,0.9138102677938487,8.262388956696702e-06
threshold_60,anesthesia_hours,0.12866582818892058,0.030457185216301325,1.1373100037127994,1.0714049687680693,1.2072690366859877,2.3949107967562097e-05
threshold_60,sens_total10,0.08186309248478432,0.06454470984534073,1.0853072129439962,0.9563395853487096,1.2316668310229684,0.20468510187092093
threshold_60,sens_excess10,-0.07104667905247748,0.12624838979023498,0.9314184133838299,0.7272470949760881,1.1929099019900187,0.5736029864535614
threshold_60,sens_depth5,0.021464419521630924,0.04420030600053024,1.0216964372426705,0.9369113718613463,1.1141540611259095,0.6272387486934283
threshold_70,Intercept,-4.268214196943632,0.6444933470024903,0.014006774172304485,0.003960448726573136,0.04953724596851261,3.5296272050775574e-11
threshold_70,C(center)[T.VitalDB],-0.10984988592454821,0.29647376658804586,0.8959686227034802,0.5011109272151832,1.601960223318891,0.7109940071995813
threshold_70,C(sex_group)[T.Male],0.5866123245176038,0.17918431046840605,1.797887427989969,1.2654370156099621,2.554373835956043,0.0010611434988640931
threshold_70,C(asa_group)[T.2],0.5371377454073675,0.4763112681047004,1.7111022361551993,0.6727273313082311,4.352240092403541,0.2594452820798884
threshold_70,C(asa_group)[T.3],1.2434174134249185,0.5229405862850948,3.467442926175867,1.2441750480096796,9.663560176295643,0.01741904332759569
threshold_70,C(asa_group)[T.4],1.912935370966511,0.5588434442020327,6.772940741478885,2.2651077902889742,20.251895509896357,0.0006192826303608148
threshold_70,C(surgical_category)[T.genitourinary_gynecologic],1.2415333471470889,0.30172090324462086,3.460916184226233,1.915868880834924,6.251962727751575,3.874474847335566e-05
threshold_70,C(surgical_category)[T.out_of_common_support],-0.2185908655975234,0.242951981354473,0.8036504519483465,0.4991902471759407,1.2938034197794515,0.3682646565809775
threshold_70,C(surgical_category)[T.superficial_other],-0.2163727477767431,0.3254089522593954,0.8054350217989048,0.4256394832548529,1.5241198240807368,0.5060980711636378
threshold_70,C(surgical_category)[T.thoracic],-0.5576053678938273,0.24289733579768458,0.5725785384519602,0.3556972262727815,0.9217001384327921,0.02169634931275126
threshold_70,C(surgical_category)[T.vascular],-0.010204581952074165,0.27913988242570387,0.9898473081387776,0.5727484303769574,1.710694681056961,0.9708380431811832
threshold_70,age10,0.02780978638236901,0.056608942833672606,1.0282000881610611,0.9202207401487746,1.1488498087138244,0.6232416035841806
threshold_70,egfr10,-0.15886602194003907,0.03632931529892489,0.8531106494224956,0.7944778508376614,0.9160705731326747,1.2258278542508342e-05
threshold_70,anesthesia_hours,0.16079789003311307,0.03521028304468604,1.1744475772641292,1.0961313249474334,1.25835935927452,4.952549772509944e-06
threshold_70,sens_total10,-0.04988620650808972,0.03631103790639169,0.9513376743774846,0.8859856427797439,1.021510199477301,0.16948579989995594
threshold_70,sens_excess10,0.08490830770794044,0.04766994805902568,1.0886172443116904,0.9915131447889621,1.195231259253772,0.07488459280797519
threshold_70,sens_depth5,0.02657138623297752,0.054479110622451546,1.026927553134695,0.922926473040598,1.1426481200749161,0.6257373334149479
bridge_one_missing_minute,Intercept,-4.204548481633417,0.6399035316932797,0.014927524599192464,0.004258934116798496,0.05232083534248273,5.011379013926386e-11
bridge_one_missing_minute,C(center)[T.VitalDB],-0.07671992806041965,0.2951104392582909,0.926149205690558,0.5193767414174133,1.651503201434067,0.794886739126258
bridge_one_missing_minute,C(sex_group)[T.Male],0.5877690705891139,0.1787147609591751,1.799968330515193,1.2680681182677322,2.554977878699101,0.0010059156362828927
bridge_one_missing_minute,C(asa_group)[T.2],0.5223403809980287,0.47716311159134156,1.6859688453992108,0.6617402759217877,4.295478227764251,0.2736573440942123
bridge_one_missing_minute,C(asa_group)[T.3],1.2240487129384545,0.5229878680293928,3.4009292834476703,1.220195787283663,9.47906894250162,0.01925837153853807
bridge_one_missing_minute,C(asa_group)[T.4],1.8757976964122682,0.5584880422084635,6.526022829561607,2.184050647557599,19.499993747666103,0.0007830804788784417
bridge_one_missing_minute,C(surgical_category)[T.genitourinary_gynecologic],1.2717997090086617,0.2971819190673616,3.567266830967718,1.9923878634581738,6.3870057014075,1.8728621043417713e-05
bridge_one_missing_minute,C(surgical_category)[T.out_of_common_support],-0.1980213990040026,0.24215589214986105,0.8203522982278896,0.5103603540198591,1.318632781537716,0.4135036843709994
bridge_one_missing_minute,C(surgical_category)[T.superficial_other],-0.2148158690690194,0.3227250829957662,0.8066899630769914,0.42855105122965004,1.5184858248788602,0.5056468889938421
bridge_one_missing_minute,C(surgical_category)[T.thoracic],-0.5472147434803754,0.24251521807496862,0.5785590035689581,0.3596816887399331,0.9306298627082227,0.02404471304126104
bridge_one_missing_minute,C(surgical_category)[T.vascular],-0.02947781927164333,0.2800468423702912,0.9709524138340877,0.5608176088133151,1.6810253014791903,0.9161692508144508
bridge_one_missing_minute,age10,0.020294820036186656,0.05571057433155087,1.0205021601644633,0.9149408146770897,1.1382426515401283,0.7156412665893598
bridge_one_missing_minute,egfr10,-0.15984312522411906,0.03616072935643387,0.8522774793181715,0.7939642432673045,0.9148735700788815,9.854059724620653e-06
bridge_one_missing_minute,anesthesia_hours,0.13396656934209308,0.03150297899609738,1.143354595909366,1.0748937990349507,1.2161757125780603,2.113926857060925e-05
bridge_one_missing_minute,sens_total10,-7.791047424221802e-05,0.04502367977690133,0.9999220925607,0.9154654071852747,1.092170368583482,0.9986193146849173
bridge_one_missing_minute,sens_excess10,0.04687766389149572,0.06816786345396393,1.047993793754669,0.91692564655135,1.1977972214858283,0.4916544323281611
bridge_one_missing_minute,sens_depth5,0.001036356477752022,0.05062413203223158,1.0010368936806884,0.9064810813005737,1.1054559032518967,0.9836671751793072
hinge_10_minutes,Intercept,-4.2126964321243365,0.6404080227744342,0.01480639003718037,0.004220198592646181,0.05194759941276873,4.763555890549051e-11
hinge_10_minutes,C(center)[T.VitalDB],-0.07165588863502062,0.29465423087258835,0.9308511571675447,0.5224805247530994,1.6584041619725793,0.8078610361208515
hinge_10_minutes,C(sex_group)[T.Male],0.5869697773555113,0.17886616322440582,1.7985302028273429,1.2666790310638845,2.5536941965205875,0.0010321464513761633
hinge_10_minutes,C(asa_group)[T.2],0.51689430246328,0.4771398195360425,1.6768118840580992,0.6581762282564755,4.2719532760499845,0.2786671613084982
hinge_10_minutes,C(asa_group)[T.3],1.2244581913610058,0.5228996473458115,3.402322175766077,1.2209066213760162,9.481311662199989,0.01919770304225455
hinge_10_minutes,C(asa_group)[T.4],1.874852051462688,0.5585433508959029,6.519854446042019,2.1817497662061194,19.483674368162124,0.0007888396803338332
hinge_10_minutes,C(surgical_category)[T.genitourinary_gynecologic],1.2704932630315657,0.29723096788739606,3.5626094325493236,1.9895953391192174,6.379280107535925,1.9162603685200486e-05
hinge_10_minutes,C(surgical_category)[T.out_of_common_support],-0.20198980893314475,0.24218487768285366,0.8171032550537054,0.5083101700347126,1.3134848932370686,0.40426325183005807
hinge_10_minutes,C(surgical_category)[T.superficial_other],-0.21489997657035173,0.3227831554223238,0.8066221172530585,0.4284662376426768,1.5185309433515113,0.5055568650401929
hinge_10_minutes,C(surgical_category)[T.thoracic],-0.5486132573771417,0.2426911295068264,0.5777504462834517,0.3590552040538172,0.9296497430258565,0.02378769256076102
hinge_10_minutes,C(surgical_category)[T.vascular],-0.032771684111923646,0.2794063988972248,0.9677594892344271,0.5596754801272973,1.6733954983882096,0.9066299440596329
hinge_10_minutes,age10,0.019208399787718485,0.055671262428032456,1.0193940679899338,0.9140177664890278,1.1369191102758944,0.7300698712021607
hinge_10_minutes,egfr10,-0.16055337182408125,0.036153928604147616,0.851672367051164,0.7934111085616645,0.9142118291152691,8.961347771533186e-06
hinge_10_minutes,anesthesia_hours,0.12910070693143946,0.031241309437645727,1.1378047032164207,1.0702249559730366,1.2096517983776334,3.590389882803871e-05
hinge_10_minutes,sens_total10,0.023710396589034136,0.03171853273354299,1.023993722870279,0.9622732882782538,1.0896729206251519,0.45474671011665413
hinge_10_minutes,sens_excess10,0.007259319124946149,0.06662360772084282,1.0072857318561577,0.8839802550342678,1.1477909600612775,0.9132340878512112
