model,term,coefficient,standard_error,odds_ratio,ci_low,ci_high,p_value
pooled_primary,Intercept,-4.2024061249349804,0.6402842354189995,0.014959538962356628,0.004264884555747062,0.0524721837229346,5.2614038910618784e-11
pooled_primary,C(center)[T.VitalDB],-0.08157258587047582,0.2954752105766632,0.9216658075109082,0.5164930962475053,1.644683862972036,0.7824923669182606
pooled_primary,C(sex_group)[T.Male],0.5881273129437823,0.1786755170747797,1.8006132709238332,1.268620049544771,2.5556967608942114,0.0009962121249591368
pooled_primary,C(asa_group)[T.2],0.5229644654016713,0.477251234084105,1.6870213606556685,0.6620390313894009,4.298902234412983,0.273173129431473
pooled_primary,C(asa_group)[T.3],1.2228857152913102,0.5231139227822202,3.3969763097880032,1.2184764499656167,9.470390707663281,0.019402588136775704
pooled_primary,C(asa_group)[T.4],1.874979361169724,0.5585344270553212,6.520684539639827,2.1820657066927533,19.48581416915362,0.0007880368023750786
pooled_primary,C(surgical_category)[T.genitourinary_gynecologic],1.2718781068647182,0.2971330875725477,3.567546508002144,1.9927347799944695,6.386895142560625,1.8647409740866358e-05
pooled_primary,C(surgical_category)[T.out_of_common_support],-0.19923327645425476,0.24214903220325532,0.8193587339370839,0.5097490880905406,1.3170180203632607,0.41063805466142567
pooled_primary,C(surgical_category)[T.superficial_other],-0.2168253119505976,0.3228937315217844,0.8050705932335471,0.42754941930759893,1.5159385811798154,0.5018977772220381
pooled_primary,C(surgical_category)[T.thoracic],-0.5463922384545064,0.24253856993008174,0.5790350670126041,0.3599611750686869,0.9314382551571385,0.024271411583339224
pooled_primary,C(surgical_category)[T.vascular],-0.028351945103873438,0.2800349915941526,0.972046199692039,0.5614624154385625,1.682879901404776,0.9193565355710426
pooled_primary,age10,0.020648609122794613,0.05571896309401879,1.0208632665655746,0.9152495196626416,1.1386641420003951,0.7109466937005535
pooled_primary,egfr10,-0.1595509398787201,0.03615465766867361,0.8525265386918196,0.7942057131000678,0.9151300314082221,1.0194232117591138e-05
pooled_primary,anesthesia_hours,0.13453577717207643,0.03145746403895975,1.1440055875549995,1.0756017588205993,1.2167596172324102,1.8963972964191824e-05
pooled_primary,total_low10,-0.003676068925411502,0.045284878940289715,0.9963306795441483,0.9117104752184324,1.0888048892528894,0.9353015714248052
pooled_primary,excess5_10,0.05558906375734057,0.07063653655424992,1.0571631678034983,0.9204836837550002,1.2141377224648242,0.4312975336756443
pooled_primary,mean_depth5,0.0013066051663860336,0.05060646202174594,1.0013074591468143,0.906757492540567,1.1057163971525645,0.979401755581848
pooled_ipow,Intercept,-4.181878532947469,0.6294709142495046,0.01526979579266448,0.004446585173223463,0.05243724216816123,3.063584220464151e-11
pooled_ipow,C(center)[T.VitalDB],-0.09730670305661675,0.29192629643412454,0.9072776986132058,0.5119789693842346,1.6077863967555044,0.7388880126969286
pooled_ipow,C(sex_group)[T.Male],0.5988139732640673,0.177342624508551,1.8199589998209853,1.285604217883532,2.57641559894872,0.0007338939352315453
pooled_ipow,C(asa_group)[T.2],0.4956077167612477,0.4688083234765331,1.641495500329219,0.6549216211290745,4.114244194527866,0.2904363238791464
pooled_ipow,C(asa_group)[T.3],1.2098156197293455,0.5137448901655753,3.352866393140321,1.224942786200267,9.177337241293706,0.018527906604961012
pooled_ipow,C(asa_group)[T.4],1.8547910761400694,0.5489012798726101,6.390363011837345,2.1792141638626807,18.739204296779764,0.0007272414709052394
pooled_ipow,C(surgical_category)[T.genitourinary_gynecologic],1.1871510643517655,0.2843109243471163,3.277729851583183,1.8774451544524489,5.722411093863792,2.9728263978624073e-05
pooled_ipow,C(surgical_category)[T.out_of_common_support],-0.21253856884191188,0.23923309614583632,0.8085291316878175,0.5058946559467401,1.2922045115587835,0.37431689045582683
pooled_ipow,C(surgical_category)[T.superficial_other],-0.22811722864947656,0.31835421382622486,0.7960309367338352,0.42652682341777476,1.4856398647094797,0.47365080359548917
pooled_ipow,C(surgical_category)[T.thoracic],-0.541934796399128,0.24276662747705519,0.5816218431913004,0.36140768269452533,0.9360176462080785,0.025593277251373628
pooled_ipow,C(surgical_category)[T.vascular],-0.04097477028658533,0.27826594092695667,0.9598533464671611,0.5563453788374816,1.6560188720347793,0.8829343830100962
pooled_ipow,age10,0.019926512516626384,0.055137514070106024,1.0201263707524282,0.9156317367529827,1.1365462451038515,0.7178029567838076
pooled_ipow,egfr10,-0.1618150979674277,0.03578579930026428,0.8505984673861976,0.792982618894022,0.9124005186000712,6.1325124459089895e-06
pooled_ipow,anesthesia_hours,0.13847380138811408,0.03104031979133813,1.1485195915569995,1.0807290854882539,1.220562368407354,8.154210234414962e-06
pooled_ipow,total_low10,-0.008735366794894247,0.045085591932864225,0.991302675669411,0.9074638909650248,1.0828871590078593,0.8463710598767661
pooled_ipow,excess5_10,0.06075244890239668,0.0699936381806145,1.0626358249597039,0.926415388636835,1.2188861609362225,0.3854102025102334
pooled_ipow,mean_depth5,-0.0005396567864188915,0.050508966081261916,0.9994604888021142,0.9052578930307705,1.1034659585592885,0.991475263516902
center_MOVER,Intercept,-2.203564144247437,1.3987840715848046,0.11040894286062918,0.007117985373893,1.7125821455481014,0.11517738457419599
center_MOVER,C(sex_group)[T.Male],0.2881155376707171,0.21629101974278528,1.3339114122380797,0.8730110452117028,2.0381410584186916,0.18283603432656925
center_MOVER,C(asa_group)[T.2],-1.0863725621537477,1.4658450497094158,0.3374383128372616,0.01907501211856287,5.9693076084418415,0.4586184179383539
center_MOVER,C(asa_group)[T.3],-0.36671938399626014,1.3762099405550152,0.6930040857986542,0.04669859022567012,10.284136215093572,0.7898768574257138
center_MOVER,C(asa_group)[T.4],0.20096335886960526,1.3725425407483607,1.22257997429036,0.08297876160170856,18.013064604534197,0.8835923242302678
center_MOVER,C(surgical_category)[T.genitourinary_gynecologic],1.2671851611346323,0.4201760314943407,3.550843429825579,1.5583931716245203,8.09069835052728,0.002562654744624752
center_MOVER,C(surgical_category)[T.out_of_common_support],-0.09876361918766514,0.2686342928497143,0.9059568335272207,0.5351130969892969,1.53380245939128,0.7131336126677583
center_MOVER,C(surgical_category)[T.superficial_other],-0.27618452147206074,0.3596358323806845,0.7586729263995413,0.37491430448940943,1.5352431271874902,0.4425132825975213
center_MOVER,C(surgical_category)[T.thoracic],-0.08304025952620805,0.4179026874324664,0.9203140950648487,0.4057108862265614,2.0876394061116046,0.8424918165735699
center_MOVER,C(surgical_category)[T.vascular],0.08407494731957642,0.3267415550788552,1.0877104117338479,0.5733111256710673,2.0636507592790356,0.7969369272248414
center_MOVER,age10,0.03535796989314831,0.06596903496997783,1.0359904958374633,0.9103383250994703,1.1789861833492274,0.591973561734054
center_MOVER,egfr10,-0.20704462824772982,0.04139811964302037,0.8129833671548478,0.7496240597592455,0.8816978946522964,5.694350475271196e-07
center_MOVER,anesthesia_hours,0.09212109926850895,0.0355363213815286,1.0964975990982275,1.0227255682162526,1.1755910111107661,0.009533430808175362
center_MOVER,total_low10,-0.028551174136357712,0.04978080716503002,0.9718525591581929,0.8815092680013803,1.0714548684028697,0.5662806194595136
center_MOVER,excess5_10,0.11293242841758562,0.07831937536902209,1.1195562802031715,0.9602412475135802,1.305303503455923,0.14931718147168158
center_MOVER,mean_depth5,0.06667043741482685,0.07246797054704221,1.068943136455012,0.9274056869591493,1.2320815421359497,0.35757344780438216
center_VitalDB,Intercept,-6.566026084956932,0.7693732149069076,0.0014073791192294645,0.0003115440314227047,0.006357740112041038,1.410631910170778e-17
center_VitalDB,C(sex_group)[T.Male],1.1833254995796323,0.34539145768916396,3.265214637874023,1.6592582778483007,6.425537707856197,0.0006124465916816054
center_VitalDB,C(asa_group)[T.2],0.8793405727075928,0.5496011211676703,2.409310417419403,0.8204864928827378,7.074798595514803,0.10960714939898623
center_VitalDB,C(asa_group)[T.3],1.9411275195453541,0.5982732346497152,6.966601523362036,2.1566013354788383,22.504640049540797,0.0011763629663669975
center_VitalDB,C(asa_group)[T.4],3.329440135037083,1.104036225531664,27.922704382397338,3.2077472367635114,243.06074091218449,0.0025638825378056485
center_VitalDB,C(surgical_category)[T.genitourinary_gynecologic],1.3152902775701578,0.3961315957458762,3.7258323538575904,1.7140973521271912,8.098622118413914,0.0008990893960358493
center_VitalDB,C(surgical_category)[T.superficial_other],1.3584044507125674,0.6337900200833854,3.889981690132898,1.1232191881251155,13.47195428064896,0.032088725546000556
