group,variable,level,observed_n,missing_n,observed_mean_or_percent,missing_mean_or_percent,standardized_mean_difference
Overall,age,continuous,2958,180,59.72785665990534,60.31111111111111,-0.03835130646121724
Overall,asa,continuous,2958,180,2.4607843137254903,2.25,0.25296631115078194
Overall,baseline_creatinine,continuous,2958,180,0.8824273157538879,0.7937777777777778,0.26792001739527915
Overall,baseline_egfr,continuous,2958,180,91.80890925933853,94.44126812253648,-0.1192916391545939
Overall,anesthesia_minutes,continuous,2958,180,270.3610547667343,216.2833333335185,0.392676427431773
Overall,map_coverage,continuous,2958,180,0.8512282917352548,0.8347910896411174,0.2442798622604442
Overall,total_low_minutes,continuous,2958,180,22.28972278566599,20.1,0.06623092429842697
Overall,episode_count,continuous,2958,180,6.31947261663286,5.194444444444445,0.16603323656164548
Overall,longest_episode_minutes,continuous,2958,180,7.284651791751183,7.133333333333334,0.015808416330823676
Overall,excess5_minutes,continuous,2958,180,6.324881676808655,6.166666666666667,0.009228265719019696
Overall,auc_below_65_mmhg_minutes,continuous,2958,180,160.7134888438134,171.4638888888889,-0.032383553674773205
Overall,mean_depth_below_65_mmhg,continuous,2958,180,8.86253154581918,8.549495237122077,0.033281963093332395
Overall,sex,Female,1162,96,39.28329952670723,53.333333333333336,-0.2846084356488916
Overall,sex,Male,1796,84,60.71670047329276,46.666666666666664,0.2846084356488915
Overall,surgical_category,abdominal,999,58,33.77281947261663,32.22222222222222,0.03298161834888659
Overall,surgical_category,genitourinary_gynecologic,113,41,3.8201487491548343,22.77777777777778,-0.5814058543100727
Overall,surgical_category,out_of_common_support,450,20,15.212981744421908,11.11111111111111,0.12155311096299799
Overall,surgical_category,superficial_other,179,14,6.051386071670048,7.777777777777778,-0.0680874506281349
Overall,surgical_category,thoracic,1034,39,34.95605138607167,21.666666666666668,0.298246459373014
Overall,surgical_category,vascular,183,8,6.186612576064909,4.444444444444445,0.0777150417095898
Overall,hypertension,False,2048,131,69.23597025016903,72.77777777777777,-0.0781192882692886
Overall,hypertension,True,910,49,30.764029749830968,27.22222222222222,0.07811928826928874
Overall,diabetes,False,2546,164,86.07167004732928,91.11111111111111,-0.1590151933993001
Overall,diabetes,True,412,16,13.928329952670722,8.88888888888889,0.1590151933993001
Overall,icu_flag,No,1194,131,40.36511156186612,72.77777777777777,-0.6919576788493907
Overall,icu_flag,Yes,1764,49,59.63488843813387,27.22222222222222,0.6919576788493907
MOVER,age,continuous,1137,41,57.00703605980651,61.58536585365854,-0.26667508963327974
MOVER,asa,continuous,1137,41,3.2365875109938433,3.1463414634146343,0.13387634916716132
MOVER,baseline_creatinine,continuous,1137,41,0.9335971855760774,0.8341463414634147,0.2437982533452806
MOVER,baseline_egfr,continuous,1137,41,91.34174522835522,91.78250083769632,-0.016557692901930442
MOVER,anesthesia_minutes,continuous,1137,41,309.3711521547933,254.85365853658536,0.35702408795590856
MOVER,map_coverage,continuous,1137,41,0.8327589859785021,0.8211267199862401,0.17306626803933564
MOVER,total_low_minutes,continuous,1137,41,31.424802110817943,31.585365853658537,-0.0033439140196817045
